datetime,t2m,mer,mror,msmr,mtpr,sd,swvl1,sd_diff,mtpr_1days,mtpr_2days,mtpr_3days,mtpr_4days,mtpr_5days,mtpr_6days,mtpr_7days,msmr_1days,msmr_2days,msmr_3days,msmr_4days,msmr_5days,msmr_6days,msmr_7days
2020-03-20,276.4367,-1.2153067e-05,2.5682696e-06,8.951671e-06,5.326598e-07,0.022831766,0.30250058,-0.00087593496,2.3910903e-07,6.306906e-05,5.8380076e-05,4.991832e-05,9.9722485e-05,7.4229116e-05,9.188807e-08,6.5492072e-06,9.02981e-06,1.6166428e-05,1.1937542e-05,7.3314727e-06,5.6404183e-06,4.6425553e-06
2020-03-21,277.864,-1.34973925e-05,3.2564383e-06,1.32621135e-05,4.4303115e-06,0.021746857,0.2996837,-0.0010849088,5.326598e-07,2.3910903e-07,6.306906e-05,5.8380076e-05,4.991832e-05,9.9722485e-05,7.4229116e-05,8.951671e-06,6.5492072e-06,9.02981e-06,1.6166428e-05,1.1937542e-05,7.3314727e-06,5.6404183e-06
2020-03-22,278.689,-1.384855e-05,3.298046e-06,1.1880645e-05,3.6279653e-06,0.02035685,0.2998927,-0.0013900064,4.4303115e-06,5.326598e-07,2.3910903e-07,6.306906e-05,5.8380076e-05,4.991832e-05,9.9722485e-05,1.32621135e-05,8.951671e-06,6.5492072e-06,9.02981e-06,1.6166428e-05,1.1937542e-05,7.3314727e-06
2020-03-23,278.74234,-1.2367505e-05,3.1455593e-06,9.343776e-06,6.0899115e-06,0.01931744,0.2931269,-0.00103941,3.6279653e-06,4.4303115e-06,5.326598e-07,2.3910903e-07,6.306906e-05,5.8380076e-05,4.991832e-05,1.1880645e-05,1.32621135e-05,8.951671e-06,6.5492072e-06,9.02981e-06,1.6166428e-05,1.1937542e-05
2020-03-24,275.262,-1.35856135e-05,3.9590536e-06,7.6188635e-06,7.652467e-05,0.020139784,0.29502445,0.0,6.0899115e-06,3.6279653e-06,4.4303115e-06,5.326598e-07,2.3910903e-07,6.306906e-05,5.8380076e-05,9.343776e-06,1.1880645e-05,1.32621135e-05,8.951671e-06,6.5492072e-06,9.02981e-06,1.6166428e-05
2020-03-25,273.00882,-1.2669204e-05,2.854044e-06,4.3441614e-06,3.930122e-05,0.022143733,0.30474815,0.0,7.652467e-05,6.0899115e-06,3.6279653e-06,4.4303115e-06,5.326598e-07,2.3910903e-07,6.306906e-05,7.6188635e-06,9.343776e-06,1.1880645e-05,1.32621135e-05,8.951671e-06,6.5492072e-06,9.02981e-06
2020-03-26,272.47174,-1.2239951e-05,2.1998405e-06,2.0751406e-06,9.652043e-06,0.021375071,0.30147448,-0.0007686615,3.930122e-05,7.652467e-05,6.0899115e-06,3.6279653e-06,4.4303115e-06,5.326598e-07,2.3910903e-07,4.3441614e-06,7.6188635e-06,9.343776e-06,1.1880645e-05,1.32621135e-05,8.951671e-06,6.5492072e-06
2020-03-27,274.6009,-9.81818e-06,2.1968751e-06,2.0731572e-06,2.865079e-06,0.020798413,0.29453713,-0.0005766582,9.652043e-06,3.930122e-05,7.652467e-05,6.0899115e-06,3.6279653e-06,4.4303115e-06,5.326598e-07,2.0751406e-06,4.3441614e-06,7.6188635e-06,9.343776e-06,1.1880645e-05,1.32621135e-05,8.951671e-06
2020-03-28,276.94592,-1.1186407e-05,3.5028468e-06,6.207272e-06,2.52066e-05,0.020718526,0.2930431,-7.988699e-05,2.865079e-06,9.652043e-06,3.930122e-05,7.652467e-05,6.0899115e-06,3.6279653e-06,4.4303115e-06,2.0731572e-06,2.0751406e-06,4.3441614e-06,7.6188635e-06,9.343776e-06,1.1880645e-05,1.32621135e-05
2020-03-29,277.5608,-1.5702111e-05,6.4411447e-06,1.5168458e-05,5.518783e-05,0.020979553,0.31112292,0.0,2.52066e-05,2.865079e-06,9.652043e-06,3.930122e-05,7.652467e-05,6.0899115e-06,3.6279653e-06,6.207272e-06,2.0731572e-06,2.0751406e-06,4.3441614e-06,7.6188635e-06,9.343776e-06,1.1880645e-05
